Title__c,Company__c,Location__c,Salary__c,Status__c,URL__c,Description__c,Company_Culture__c,Required_Skills__c,Preferred_Skills__c,Benefits__c,Application_Deadline__c,Job_Type__c,Remote_Work_Available__c,Years_Experience_Required__c,Application_Date__c,Interview_Date__c
"Senior Salesforce Developer","TechForward Inc","Remote","$120,000 - $145,000","Analyzing","https://example.com/jobs/sf-dev-001","Join our remote-first team building innovative Salesforce solutions. We value deep work time, provide clear documentation, and offer flexible schedules. Our interview process is transparent with all questions provided in advance. Accommodations welcomed.","Remote-first culture with emphasis on async communication and work-life balance","Apex, Lightning Web Components, REST APIs, Git","JavaScript, Python, DevOps experience","Health insurance, 401k match, unlimited PTO, home office stipend, professional development budget","2025-12-31","Full-Time","Yes","5","",""
"Salesforce Administrator","HealthCare Solutions LLC","Hybrid - Boston, MA","$75,000 - $95,000","Saved","https://example.com/jobs/sf-admin-002","Manage our growing Salesforce instance supporting healthcare operations. Collaborative team environment with structured processes and regular training opportunities.","Professional healthcare environment with standard business hours","Salesforce Administration, Data Management, Process Builder, Reports & Dashboards","Flow Builder, Health Cloud experience","Health insurance, dental, vision, 15 days PTO, 401k","2025-11-30","Full-Time","No","3","",""
"Junior Salesforce Developer","StartUp Innovations","Remote","$65,000 - $80,000","Applied","https://example.com/jobs/jr-dev-003","Entry-level position for motivated developer looking to grow. Mentorship program, pair programming, and supportive team environment.","Fast-paced startup with mentorship focus and collaborative coding practices","Basic Apex knowledge, HTML/CSS, Willingness to learn","Any programming experience, Git basics","Health insurance, equity options, flexible hours, learning budget","2025-11-15","Full-Time","Yes","1","2025-10-28",""
"Salesforce Business Analyst","Enterprise Corp","On-site - New York, NY","$85,000 - $105,000","Saved","https://example.com/jobs/ba-004","Lead requirements gathering and stakeholder management for enterprise Salesforce implementation. Fast-paced environment with frequent context switching and high meeting volume.","Traditional corporate environment with open office layout and frequent collaboration","Business Analysis, Stakeholder Management, Salesforce Platform Knowledge","Agile methodology, Project Management","Health insurance, 10 days PTO, 401k match","2025-12-15","Full-Time","No","4","",""
"Lead Salesforce Architect","CloudTech Solutions","Remote","$150,000 - $180,000","Saved","https://example.com/jobs/architect-005","Design enterprise-scale Salesforce solutions with focus on technical excellence and mentorship. Autonomous work environment with clear expectations and detailed documentation practices.","Remote-first with emphasis on documentation, async communication, and deep work blocks","Salesforce Architecture, Integration Patterns, Security Best Practices, Team Leadership","Multiple Salesforce Clouds, Enterprise Architecture, DevOps","Comprehensive health coverage, unlimited PTO, $5000 learning budget, home office setup, equity","2026-01-31","Full-Time","Yes","8","",""
"Salesforce Developer (Contract)","Consulting Partners LLC","Remote","$95/hour","Interview Scheduled","https://example.com/jobs/contract-006","6-month contract supporting Financial Services Cloud implementation. Clear deliverables and remote work.","Contract position with defined scope and minimal meetings","Apex, Visualforce, Financial Services Cloud, REST APIs","Banking domain knowledge","Hourly rate, contract terms negotiable","2025-11-10","Contract","Yes","5","","2025-11-05"
"Salesforce QA Engineer","Quality First Tech","Remote","$80,000 - $100,000","Saved","https://example.com/jobs/qa-007","Detail-oriented QA engineer for Salesforce testing. Structured testing processes, comprehensive documentation, and clear acceptance criteria. Quiet work environment with focused testing time.","Process-driven with emphasis on quality, documentation, and systematic approaches","Salesforce Testing, Test Case Design, JIRA, Regression Testing","Automation testing, Selenium, Provar","Health coverage, 20 days PTO, flexible schedule, WFH stipend","2025-12-20","Full-Time","Yes","3","",""
"Part-Time Salesforce Administrator","Non-Profit Community Services","Hybrid - Seattle, WA","$40/hour (20-25 hrs/week)","Saved","https://example.com/jobs/part-time-008","Part-time admin role supporting non-profit mission. Flexible hours, meaningful work, supportive team.","Mission-driven non-profit with flexible scheduling and collaborative environment","Salesforce Administration, NPSP experience helpful","Non-profit background, Volunteer management","Prorated benefits, flexible schedule, mission-driven work","2025-11-30","Part-Time","Yes","2","",""
"Salesforce Technical Lead","Fast Growth Startup","On-site - San Francisco, CA","$130,000 - $160,000","Not Interested","https://example.com/jobs/lead-009","Lead fast-paced development team in high-growth startup. Frequent pivots, rapid delivery, open office with high energy. Requires on-site presence 5 days/week.","High-energy startup with rapid change, frequent interruptions, and collaborative open office","Salesforce Development, Team Leadership, Agile, Rapid Prototyping","Startup experience, Multi-tasking ability","Equity, health insurance, catered meals, 10 days PTO","2025-11-15","Full-Time","No","6","",""
"Senior Salesforce Developer","Neurodiversity Tech Initiative","Remote","$115,000 - $135,000","Applied","https://example.com/jobs/ndi-010","Join our neurodiversity-affirming tech team building accessible solutions. We provide written communication options, flexible schedules, sensory-friendly virtual meetings, noise-canceling headphones, and unlimited breaks. Interview questions provided 48 hours in advance. Stimming welcomed.","Explicitly neurodiversity-affirming workplace with accommodations built into workflow, async-first communication, no cameras required, written agendas for all meetings","Apex, Lightning Web Components, Accessibility standards, REST APIs","Experience with assistive technologies, WCAG compliance","Comprehensive health (including mental health), unlimited PTO, $3000 accommodation budget, home office stipend, professional development, sensory-friendly equipment provided","2025-12-01","Full-Time","Yes","5","2025-10-29",""
