Markdown_Recipe_Name,Suggested_Salesforce_Name,Category,Ingredients,Instructions,Recipe_Content,Source_File,Extracted
Overnight Steel-Cut Oats,Overnight Steel-Cut Oats,Breakfast,"2.5 cups steel-cut oats
5 cups unsweetened almond milk (or skim milk)
2 tsp cinnamon
2 tsp vanilla extract
2 Tbsp honey (optional)
TOPPINGS: Berries, nuts, Greek yogurt",1.,"**Servings: 5** | **Prep: 5 min** | **Cook: Overnight**

#### Ingredients:
- 2.5 cups steel-cut oats
- 5 cups unsweetened almond milk (or skim milk)
- 2 tsp cinnamon
- 2 tsp vanilla extract
- 2 Tbsp honey (optional)
- TOPPINGS: Berries, nuts, Greek yogurt

#### Instructions:
1. **Saturday Night:** Mix oats, milk, cinnamon, vanilla in large container
2. Refrigerate overnight (8+ hours)
3. **Sunday Morning:** Divide into 5 containers
4. Top each with ¼ cup berries + 1 Tbsp chopped nuts

**MEAL PREP:** Make on Saturday night, grab containers Monday-Friday!

**Nutrition per serving:**
- Calories: 280 | Protein: 12g | Fiber: 8g | Sodium: <100mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Greek Yogurt Parfait Jars,Greek Yogurt Parfait Jars,Breakfast,"Ingredients (per jar):
1 cup plain Greek yogurt (non-fat)
½ cup berries (blueberries, strawberries)
2 Tbsp granola (low-sugar)
1 tsp honey drizzle
Sprinkle of cinnamon",,"**Servings: 5** | **Prep: 10 min**

#### Ingredients (per jar):
- 1 cup plain Greek yogurt (non-fat)
- ½ cup berries (blueberries, strawberries)
- 2 Tbsp granola (low-sugar)
- 1 tsp honey drizzle
- Sprinkle of cinnamon

#### Assembly (Sunday Prep):
1. Layer in mason jars: yogurt → berries → granola
2. Seal and refrigerate up to 5 days
3. Grab and go each morning!

**COST:** ~$1.50 per serving

**Nutrition per serving:**
- Calories: 220 | Protein: 20g | Fiber: 4g | Sodium: <80mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Partial
Egg Muffin Cups,Egg Muffin Cups,Breakfast,"12 large eggs
½ cup skim milk
2 cups vegetables (bell peppers, spinach, mushrooms, diced)
1 cup reduced-fat cheese (optional: ½ cup)
Black pepper, garlic powder
Cooking spray",1.,"**Servings: 15 muffins (3 per person)** | **Prep: 15 min** | **Bake: 20 min**

#### Ingredients:
- 12 large eggs
- ½ cup skim milk
- 2 cups vegetables (bell peppers, spinach, mushrooms, diced)
- 1 cup reduced-fat cheese (optional: ½ cup)
- Black pepper, garlic powder
- Cooking spray

#### Instructions:
1. **Sunday Prep:** Preheat oven to 350°F
2. Whisk eggs and milk
3. Add vegetables, cheese, seasonings
4. Pour into greased muffin tins (fill ¾ full)
5. Bake 18-20 minutes until set
6. Cool and store in fridge (5 days) or freezer (3 months)

**TO SERVE:** Microwave 30-60 seconds

**Nutrition per muffin:**
- Calories: 70 | Protein: 6g | Sodium: <100mg ✓✓✓

**GRAB 3 MUFFINS = Full breakfast!**
",Grab_and_Go_Breakfasts_Guide.md,Yes
Peanut Butter Banana Overnight Oats,Peanut Butter Banana Overnight Oats,Breakfast,"Ingredients (per jar):
½ cup old-fashioned oats
½ cup unsweetened almond milk
2 Tbsp natural peanut butter (no salt added)
½ banana, sliced
½ tsp cinnamon
1 tsp chia seeds",1.,"**Servings: 5 jars** | **Prep: 10 min** | **Soak: Overnight**

#### Ingredients (per jar):
- ½ cup old-fashioned oats
- ½ cup unsweetened almond milk
- 2 Tbsp natural peanut butter (no salt added)
- ½ banana, sliced
- ½ tsp cinnamon
- 1 tsp chia seeds

#### Instructions:
1. **Tuesday Night:** Layer in mason jars
2. Refrigerate overnight
3. Shake and eat cold, or microwave 1 minute

**Nutrition per jar:**
- Calories: 310 | Protein: 12g | Fiber: 8g | Sodium: <50mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Whole Wheat Toast with Toppings Bar,Whole Wheat Toast with Toppings Bar,Breakfast,,,"**Servings: 5** | **Prep: 5 min**

#### Base:
- 2 slices whole wheat bread per person = 10 slices
- Toast in toaster

#### Topping Options (Choose 2-3):
**Option 1: Avocado Smash**
- 3 avocados, mashed
- Lemon juice, black pepper
- Cherry tomatoes

**Option 2: Almond Butter + Banana**
- Natural almond butter
- Banana slices
- Drizzle honey, cinnamon

**Option 3: Greek Yogurt + Berries**
- Plain Greek yogurt spread
- Fresh berries
- Granola sprinkle

**COST:** $1.00-1.50 per person

**Nutrition (2 slices with avocado):**
- Calories: 320 | Protein: 10g | Fiber: 12g | Sodium: <250mg ✓✓
",Grab_and_Go_Breakfasts_Guide.md,No
Breakfast Burrito Wraps,Breakfast Burrito Wraps,Breakfast,"10 large eggs, scrambled
1 cup black beans (low-sodium, rinsed)
1 bell pepper, diced
1 cup reduced-fat cheese
5 whole wheat tortillas (10-inch)
Salsa (optional)",1.,"**Servings: 5 burritos** | **Prep: 20 min** | **Cook: 10 min**

#### Ingredients:
- 10 large eggs, scrambled
- 1 cup black beans (low-sodium, rinsed)
- 1 bell pepper, diced
- 1 cup reduced-fat cheese
- 5 whole wheat tortillas (10-inch)
- Salsa (optional)

#### Instructions:
1. **Sunday Prep:** Scramble eggs with peppers
2. Warm tortillas
3. Fill each: eggs, beans, cheese
4. Roll tightly, wrap in foil
5. **Store:** Refrigerate 5 days or freeze 2 months

**TO REHEAT:** Microwave 1-2 minutes (or 3-4 if frozen)

**Nutrition per burrito:**
- Calories: 380 | Protein: 24g | Fiber: 8g | Sodium: <600mg ✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Protein Smoothie Bowls,Protein Smoothie Bowls,Breakfast,"Base (blend per person):
1 cup frozen berries
½ banana
½ cup Greek yogurt
½ cup unsweetened almond milk
1 scoop protein powder (optional)
Handful spinach (you won't taste it!)

Toppings:
Granola (2 Tbsp)
Fresh berries
Sliced almonds
Chia seeds",,"**Servings: 5** | **Prep: 10 min**

#### Base (blend per person):
- 1 cup frozen berries
- ½ banana
- ½ cup Greek yogurt
- ½ cup unsweetened almond milk
- 1 scoop protein powder (optional)
- Handful spinach (you won't taste it!)

#### Toppings:
- Granola (2 Tbsp)
- Fresh berries
- Sliced almonds
- Chia seeds

**Nutrition per bowl:**
- Calories: 280 | Protein: 22g | Fiber: 8g | Sodium: <150mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Partial
Mason Jar Salads,Mason Jar Salads,Lunch,"Layer Order (bottom to top):
Balsamic vinaigrette
Lemon herb dressing
Greek yogurt ranch",,"**Servings: 5 jars** | **Prep: 20 min** | **Stays Fresh: 5 days**

#### Layer Order (bottom to top):
**LAYER 1 - Dressing (2 Tbsp):**
- Balsamic vinaigrette
- Lemon herb dressing
- Greek yogurt ranch

**LAYER 2 - Hearty Vegetables:**
- Cherry tomatoes, cucumbers, bell peppers, carrots

**LAYER 3 - Protein (4-5 oz):**
- Grilled chicken breast (from Sunday prep)
- Hard-boiled eggs (2 eggs)
- Chickpeas (½ cup)
- Tuna (low-sodium, water-packed)

**LAYER 4 - Grains:**
- Quinoa (½ cup cooked)
- Brown rice (½ cup)
- Whole wheat pasta (½ cup)

**LAYER 5 - Greens:**
- Mixed greens, spinach, arugula (packed tight on top)

**LAYER 6 - Toppings:**
- Nuts/seeds, feta cheese (1 Tbsp)

#### TO SERVE:
Shake jar into bowl, or eat straight from jar!

**Nutrition per jar:**
- Calories: 380 | Protein: 28g | Fiber: 10g | Sodium: <500mg ✓✓

**COST:** $2.50-3.00 per jar
",Healthy_Lunch_Bento_Guide.md,Partial
Turkey & Veggie Wrap,Turkey & Veggie Wrap,Lunch,"Ingredients (per wrap):
1 whole wheat tortilla (10-inch)
3 oz sliced turkey breast (low-sodium)
2 Tbsp hummus
Lettuce, tomato, cucumber, bell pepper strips
1 slice reduced-fat cheese (optional)
Mustard or Greek yogurt spread",,"**Servings: 5 wraps** | **Prep: 15 min**

#### Ingredients (per wrap):
- 1 whole wheat tortilla (10-inch)
- 3 oz sliced turkey breast (low-sodium)
- 2 Tbsp hummus
- Lettuce, tomato, cucumber, bell pepper strips
- 1 slice reduced-fat cheese (optional)
- Mustard or Greek yogurt spread

#### Assembly (Pack night before):
1. Spread hummus on tortilla
2. Layer turkey, cheese, vegetables
3. Roll tightly, cut in half
4. Wrap in parchment paper
5. Store in container with side items

**SIDES:**
- Baby carrots + hummus (¼ cup)
- Apple slices
- String cheese

**Nutrition per wrap + sides:**
- Calories: 420 | Protein: 30g | Fiber: 12g | Sodium: <650mg ✓
",Healthy_Lunch_Bento_Guide.md,Partial
Chicken & Quinoa Buddha Bowl,Chicken & Quinoa Buddha Bowl,Lunch,"Ingredients (per bowl):
1 cup cooked quinoa (from Sunday prep)
4 oz grilled chicken (from Sunday prep)
1 cup roasted vegetables (broccoli, bell peppers, carrots)
¼ avocado, sliced
2 Tbsp tahini lemon dressing
1 Tbsp pumpkin seeds",,"**Servings: 5 bowls** | **Prep: 15 min (if chicken pre-cooked)**

#### Ingredients (per bowl):
- 1 cup cooked quinoa (from Sunday prep)
- 4 oz grilled chicken (from Sunday prep)
- 1 cup roasted vegetables (broccoli, bell peppers, carrots)
- ¼ avocado, sliced
- 2 Tbsp tahini lemon dressing
- 1 Tbsp pumpkin seeds

#### Assembly (Sunday or night before):
1. Pack in compartment containers:
   - Bottom: quinoa
   - Section 1: chicken
   - Section 2: roasted veggies
   - Section 3: avocado (add morning of)
2. Dressing in separate small container
3. Sprinkle seeds on top

**Can be eaten cold or reheated!**

**Nutrition per bowl:**
- Calories: 450 | Protein: 35g | Fiber: 12g | Sodium: <400mg ✓✓✓
",Healthy_Lunch_Bento_Guide.md,Partial
