Store__c,Item_Name__c,Discount_Type__c,Discount_Value__c,Valid_From__c,Valid_To__c,Source__c,API_Source__c,Last_Synced__c,Requires_Clipping__c,Notes__c
Publix,"Your order has been successfully submitted.Pick up your order at the date, time, and store location mentioned below. ...",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Your order has been successfully submitted.Pick up your order at the date, time, and store location mentioned below. You can pay for your items at the registers.
Your items can be found in the Deli department."
Publix,"Publix atMIDDLEBURG CROSSING(#736)2640 BLANDING BOULEVARDMIDDLEBURG,FL-32068904-291-5123Pickup Date / Time:Monday, 04...",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Publix atMIDDLEBURG CROSSING(#736)2640 BLANDING BOULEVARDMIDDLEBURG,FL-32068904-291-5123Pickup Date / Time:Monday, 04/01/19 at 4:00 PM EasternPickup Name:Abby AbbyPickup Number:736-6260"
Publix,"Ordered:Monday, 04/01/19 3:04 PM EasternItem Count:4",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Ordered:Monday, 04/01/19 3:04 PM EasternItem Count:4"
Publix,Product,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Product
Publix,"Boar's Head® Ultimate Whole SubQty: 1Size:WholeIncluded Recipe Items:Tavern Ham, Ovengold Turkey Breast, Top Round Ro...",Fixed Price,7.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Boar's Head® Ultimate Whole Sub$7.99Qty: 1Size:WholeIncluded Recipe Items:Tavern Ham, Ovengold Turkey Breast, Top Round Roast BeefBread:WhiteCheese:CheddarToppings:Black Olives, Boar's Head® Garlic Pickles, Cucumbers, Green Peppers, Lettuce, Onions, Tomato, Salt, Black PepperCondiments:Boar's Head® Spicy MustardHeating Options:No ThanksMake It A Combo:No ThanksSpecial Instructions:Bill"
Publix,Boar's Head® Turkey Whole SubQty: 1Size:WholeIncluded Recipe Items:Ovengold Turkey BreastBread:Whole WheatCheese:No C...,Fixed Price,7.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Boar's Head® Turkey Whole Sub$7.99Qty: 1Size:WholeIncluded Recipe Items:Ovengold Turkey BreastBread:Whole WheatCheese:No CheeseToppings:Banana Peppers, Black Olives, Boar's Head® Garlic Pickles, Cucumbers, Green Peppers, Jalapeno Peppers, Onions, Spinach, Tomato, Salt, Black PepperCondiments:Boar's Head® Spicy MustardHeating Options:No ThanksMake It A Combo:No ThanksSpecial Instructions:Matt"
Publix,Boar's Head® Ham Whole SubQty: 1Size:WholeIncluded Recipe Items:Tavern HamBread:WhiteCheese:Yellow AmericanHeating Op...,Fixed Price,7.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Boar's Head® Ham Whole Sub$7.99Qty: 1Size:WholeIncluded Recipe Items:Tavern HamBread:WhiteCheese:Yellow AmericanHeating Options:No ThanksMake It A Combo:No ThanksSpecial Instructions:Kids
Publix,Boar's Head® Philly Whole SubQty: 1Size:WholeIncluded Recipe Items:Roast BeefBread:WhiteCheese:ProvoloneExtras:Double...,Fixed Price,10.09,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Boar's Head® Philly Whole Sub$10.09Qty: 1Size:WholeIncluded Recipe Items:Roast BeefBread:WhiteCheese:ProvoloneExtras:Double Cheese($1)Toppings:Cooked Mushrooms, Cooked OnionsCondiments:MayonnaiseMake It A Combo:No ThanksSpecial Instructions:Heated  Abby"
Publix,Estimated Total,Fixed Price,34.06,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Estimated Total$34.06
Publix,Estimated prices effective at time of order only and may be subject to variation at time of pickup.,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Estimated prices effective at time of order only and may be subject to variation at time of pickup.
